Happiness Rank,Family,Country,Region,Standard Error,Happiness Score,Generosity,Health (Life Expectancy),Trust (Government Corruption),Freedom,Dystopia Residual,Economy (GDP per Capita)
1,1.34951,Switzerland,Western Europe,0.03411,7.587,0.29678,0.94143,0.41978,0.66557,2.51738,1.39651
2,1.40223,Iceland,Western Europe,0.04884,7.561,0.4363,0.94784,0.14145,0.62877,2.70201,1.30232
3,1.36058,Denmark,Western Europe,0.03328,7.527,0.34139,0.87464,0.48357,0.64938,2.49204,1.32548
4,1.33095,Norway,Western Europe,0.0388,7.522,0.34699,0.88521,0.36503,0.66973,2.46531,1.459
5,1.32261,Canada,North America,0.03553,7.427,0.45811,0.90563,0.32957,0.63297,2.45176,1.32629
6,1.31826,Finland,Western Europe,0.0314,7.406,0.23351,0.88911,0.41372,0.64169,2.61955,1.29025
7,1.28017,Netherlands,Western Europe,0.02799,7.378,0.4761,0.89284,0.31814,0.61576,2.4657,1.32944
8,1.28907,Sweden,Western Europe,0.03157,7.364,0.36262,0.91087,0.43844,0.6598,2.37119,1.33171
9,1.31967,New Zealand,Australia and New Zealand,0.03371,7.286,0.47501,0.90837,0.42922,0.63938,2.26425,1.25018
10,1.30923,Australia,Australia and New Zealand,0.04083,7.284,0.43562,0.93156,0.35637,0.65124,2.26646,1.33358
11,1.22393,Israel,Middle East and Northern Africa,0.0347,7.278,0.33172,0.91387,0.07785,0.41319,3.08854,1.22857
12,1.23788,Costa Rica,Latin America and Caribbean,0.04454,7.226,0.25497,0.86027,0.10583,0.63376,3.17728,0.95578
13,1.29704,Austria,Western Europe,0.03751,7.2,0.33088,0.89042,0.18676,0.62433,2.5332,1.33723
14,0.91451,Mexico,Latin America and Caribbean,0.04176,7.187,0.14074,0.81444,0.21312,0.48181,3.60214,1.02054
15,1.24711,United States,North America,0.03839,7.119,0.40105,0.86179,0.1589,0.54604,2.51011,1.39451
16,1.23287,Brazil,Latin America and Caribbean,0.04076,6.983,0.14574,0.69702,0.17521,0.49049,3.26001,0.98124
17,1.21963,Luxembourg,Western Europe,0.03499,6.946,0.28034,0.91894,0.37798,0.61583,1.96961,1.56391
18,1.36948,Ireland,Western Europe,0.03676,6.94,0.45901,0.89533,0.28703,0.61777,1.9757,1.33596
19,1.28566,Belgium,Western Europe,0.03595,6.937,0.2225,0.89667,0.2254,0.5845,2.41484,1.30782
20,1.12575,United Arab Emirates,Middle East and Northern Africa,0.03729,6.901,0.26428,0.80925,0.38583,0.64157,2.24743,1.42727
21,1.28548,United Kingdom,Western Europe,0.01866,6.867,0.51912,0.90943,0.32067,0.59625,1.96994,1.26637
23,1.25596,Venezuela,Latin America and Caribbean,0.06476,6.81,0.05841,0.72052,0.11069,0.42908,3.19131,1.04424
24,1.02,Singapore,Southeastern Asia,0.0378,6.798,0.31105,1.02525,0.4921,0.54252,1.88501,1.52186
25,1.1985,Panama,Latin America and Caribbean,0.0491,6.786,0.24434,0.79661,0.0927,0.5421,2.84848,1.06353
26,1.29937,Germany,Western Europe,0.01848,6.75,0.28214,0.89186,0.21843,0.61477,2.11569,1.32792
27,1.12447,Chile,Latin America and Caribbean,0.058,6.67,0.33363,0.85857,0.12869,0.44132,2.67585,1.10715
28,1.0786,Qatar,Middle East and Northern Africa,0.06257,6.611,0.32573,0.79733,0.52208,0.6404,1.55674,1.69042
29,1.26038,France,Western Europe,0.03512,6.575,0.12332,0.94579,0.20646,0.55011,2.21126,1.27778
30,1.24823,Argentina,Latin America and Caribbean,0.04612,6.574,0.11451,0.78723,0.08484,0.44974,2.836,1.05351
31,1.20643,Czech Republic,Central and Eastern Europe,0.04168,6.505,0.10686,0.84483,0.02652,0.46364,2.67782,1.17898
32,1.2089,Uruguay,Latin America and Caribbean,0.04539,6.485,0.2324,0.8116,0.24558,0.60362,2.32142,1.06166
33,1.24018,Colombia,Latin America and Caribbean,0.05051,6.477,0.18401,0.69077,0.0512,0.53466,2.85737,0.91861
34,1.26504,Thailand,Southeastern Asia,0.03557,6.455,0.5763,0.7385,0.03187,0.55664,2.31945,0.9669
35,1.08393,Saudi Arabia,Middle East and Northern Africa,0.04633,6.411,0.13706,0.72025,0.32524,0.31048,2.43872,1.39541
36,1.31379,Spain,Western Europe,0.03468,6.329,0.18227,0.95562,0.06398,0.45951,2.12367,1.23011
37,1.30203,Malta,Western Europe,0.04206,6.302,0.51752,0.88721,0.13586,0.60365,1.6488,1.2074
38,1.07617,Taiwan,Eastern Asia,0.03868,6.298,0.25376,0.8753,0.08129,0.3974,2.32323,1.29098
39,1.16594,Kuwait,Middle East and Northern Africa,0.04456,6.295,0.16228,0.72492,0.25609,0.55499,1.87634,1.55422
40,0.972,Suriname,Latin America and Caribbean,0.09811,6.269,0.16991,0.6082,0.13633,0.59657,2.79094,0.99534
41,1.18354,Trinidad and Tobago,Latin America and Caribbean,0.10895,6.168,0.31844,0.61483,0.0114,0.55884,2.26882,1.21183
42,1.02507,El Salvador,Latin America and Caribbean,0.05618,6.13,0.10692,0.67737,0.11776,0.4035,3.035,0.76454
43,1.04356,Guatemala,Latin America and Caribbean,0.05224,6.123,0.27489,0.64425,0.09472,0.57733,2.74255,0.74553
44,1.34043,Uzbekistan,Central and Eastern Europe,0.04361,6.003,0.22837,0.59772,0.30826,0.65821,2.23741,0.63244
45,1.26999,Slovakia,Central and Eastern Europe,0.04267,5.995,0.16893,0.78902,0.03431,0.31751,2.24639,1.16891
46,1.25712,Japan,Eastern Asia,0.03581,5.987,0.10705,0.99111,0.1806,0.49615,1.68435,1.27074
47,0.95774,South Korea,Eastern Asia,0.04098,5.984,0.18557,0.96538,0.07857,0.33208,2.21978,1.24461
48,0.99903,Ecuador,Latin America and Caribbean,0.04528,5.975,0.11541,0.79075,0.1809,0.48574,2.53942,0.86402
49,1.21624,Bahrain,Middle East and Northern Africa,0.05412,5.96,0.17362,0.74716,0.306,0.45492,1.73797,1.32376
50,1.19777,Italy,Western Europe,0.03914,5.948,0.22823,0.95446,0.02901,0.26236,2.02518,1.25114
51,0.97841,Bolivia,Latin America and Caribbean,0.05642,5.89,0.20536,0.5392,0.088,0.57414,2.82334,0.68133
52,1.01528,Moldova,Central and Eastern Europe,0.03799,5.889,0.20951,0.61826,0.01615,0.32818,3.10712,0.59448
53,1.30477,Paraguay,Latin America and Caribbean,0.04563,5.878,0.3424,0.66098,0.08242,0.53899,2.18896,0.75985
54,1.12241,Kazakhstan,Central and Eastern Europe,0.04114,5.855,0.11827,0.64368,0.08454,0.51649,2.24729,1.12254
55,1.27385,Slovenia,Central and Eastern Europe,0.04251,5.848,0.25328,0.87337,0.03787,0.60855,1.61583,1.18498
56,1.25745,Lithuania,Central and Eastern Europe,0.03843,5.833,0.02641,0.73128,0.01031,0.21342,2.44649,1.14723
57,1.14184,Nicaragua,Latin America and Caribbean,0.05371,5.828,0.27815,0.74314,0.19317,0.55475,2.32407,0.59325
58,0.97459,Peru,Latin America and Caribbean,0.04615,5.824,0.14982,0.73017,0.05989,0.41496,2.5945,0.90019
59,1.23289,Belarus,Central and Eastern Europe,0.03938,5.813,0.11046,0.73608,0.1909,0.37938,2.1309,1.03192
60,1.27948,Poland,Central and Eastern Europe,0.04263,5.791,0.16759,0.77903,0.04212,0.53122,1.86565,1.12555
61,1.07023,Malaysia,Southeastern Asia,0.0433,5.77,0.33075,0.72394,0.10501,0.53024,1.88541,1.12486
62,0.79624,Croatia,Central and Eastern Europe,0.04394,5.759,0.05444,0.78805,0.0243,0.25883,2.75414,1.08254
63,1.11862,Libya,Middle East and Northern Africa,0.07832,5.754,0.18295,0.7038,0.11023,0.41668,2.09066,1.13145
64,1.23617,Russia,Central and Eastern Europe,0.03135,5.716,0.00199,0.66926,0.03005,0.36679,2.27394,1.13764
65,1.15102,Jamaica,Latin America and Caribbean,0.13693,5.709,0.2123,0.68741,0.02299,0.50442,2.32038,0.81038
66,1.07008,North Cyprus,Western Europe,0.05635,5.695,0.26169,0.92356,0.1428,0.49027,1.59888,1.20806
67,0.89318,Cyprus,Western Europe,0.0558,5.689,0.30638,0.92356,0.06146,0.40672,1.88931,1.20813
68,1.07772,Algeria,Middle East and Northern Africa,0.05099,5.605,0.07822,0.61766,0.17383,0.28579,2.43209,0.93929
69,0.81198,Kosovo,Central and Eastern Europe,0.05018,5.589,0.2831,0.63132,0.04741,0.24749,2.76579,0.80148
70,1.22668,Turkmenistan,Central and Eastern Europe,0.04175,5.548,0.16979,0.53886,0.30844,0.4761,1.86984,0.95847
71,0.98521,Mauritius,Sub-Saharan Africa,0.07197,5.477,0.37744,0.7095,0.07521,0.56066,1.76145,1.00761
72,1.05818,Hong Kong,Eastern Asia,0.05051,5.474,0.39478,1.01328,0.37124,0.59608,0.65429,1.38604
73,1.22791,Estonia,Central and Eastern Europe,0.04013,5.429,0.0868,0.77361,0.15184,0.44888,1.58782,1.15174
74,1.08708,Indonesia,Southeastern Asia,0.02596,5.399,0.51535,0.63793,0,0.46611,1.86399,0.82827
75,0.91226,Vietnam,Southeastern Asia,0.03107,5.36,0.1686,0.74676,0.10441,0.59444,2.20173,0.63216
76,0.94632,Turkey,Middle East and Northern Africa,0.03864,5.332,0.12253,0.73172,0.15746,0.22815,2.08528,1.06098
77,1.15115,Kyrgyzstan,Central and Eastern Europe,0.03823,5.286,0.3003,0.65088,0.04232,0.43477,2.2327,0.47428
78,0.90432,Nigeria,Sub-Saharan Africa,0.04192,5.268,0.27233,0.16007,0.0403,0.34334,2.89319,0.65435
79,1.10395,Bhutan,Southern Asia,0.03225,5.253,0.47998,0.57407,0.15445,0.53206,1.63794,0.77042
80,0.93793,Azerbaijan,Central and Eastern Europe,0.03363,5.212,0.07799,0.64045,0.16065,0.3703,2.00073,1.02389
81,0.41411,Pakistan,Southern Asia,0.03726,5.194,0.33671,0.51466,0.10464,0.12102,3.10709,0.59543
82,1.05392,Jordan,Middle East and Northern Africa,0.04524,5.192,0.11053,0.69639,0.14293,0.40661,1.87996,0.90198
82,0.90557,Montenegro,Central and Eastern Europe,0.05235,5.192,0.1614,0.72521,0.14296,0.1826,2.10017,0.97438
84,0.94675,China,Eastern Asia,0.02424,5.14,0.08185,0.81658,0.02781,0.51697,1.8604,0.89012
85,0.91612,Zambia,Sub-Saharan Africa,0.06988,5.129,0.19591,0.29924,0.12468,0.48827,2.6343,0.47038
86,0.88588,Romania,Central and Eastern Europe,0.06607,5.124,0.13748,0.7689,0.00649,0.35068,1.93129,1.04345
87,1.00964,Serbia,Central and Eastern Europe,0.04864,5.123,0.19231,0.74836,0.02617,0.20107,2.025,0.92053
88,1.13935,Portugal,Western Europe,0.04802,5.102,0.13719,0.87519,0.01078,0.51469,1.26462,1.15991
89,1.09562,Latvia,Central and Eastern Europe,0.0464,5.098,0.18226,0.72437,0.06332,0.29671,1.62215,1.11312
90,1.03516,Philippines,Southeastern Asia,0.04934,5.073,0.24991,0.58114,0.12279,0.62545,1.7536,0.70532
92,0.64095,Morocco,Middle East and Northern Africa,0.0342,5.013,0.07172,0.60954,0.08546,0.41691,2.45373,0.73479
93,1.00232,Macedonia,Central and Eastern Europe,0.05376,5.007,0.22359,0.73545,0.05327,0.33457,1.73933,0.91851
95,0.80434,Albania,Central and Eastern Europe,0.05013,4.959,0.14272,0.81325,0.06413,0.35733,1.89894,0.87867
96,0.91916,Bosnia and Herzegovina,Central and Eastern Europe,0.06913,4.949,0.24808,0.79081,0.00227,0.09245,2.06367,0.83223
98,1.17202,Dominican Republic,Latin America and Caribbean,0.07446,4.885,0.21684,0.66825,0.14234,0.57672,1.21305,0.89537
99,0.73803,Laos,Southeastern Asia,0.06698,4.876,0.42192,0.54909,0.24249,0.59591,1.73799,0.59066
100,1.3006,Mongolia,Eastern Asia,0.03313,4.874,0.3323,0.60268,0.02666,0.43626,1.34759,0.82819
102,0.92933,Greece,Western Europe,0.05062,4.857,0,0.88213,0.01397,0.07699,1.80101,1.15406
103,0.80001,Lebanon,Middle East and Northern Africa,0.04337,4.839,0.21854,0.83947,0.04582,0.33916,1.57059,1.02564
104,1.20215,Hungary,Central and Eastern Europe,0.06107,4.8,0.128,0.75905,0.02758,0.32112,1.24074,1.12094
105,0.95348,Honduras,Latin America and Caribbean,0.05648,4.788,0.23027,0.6951,0.06825,0.40148,1.84408,0.59532
106,0.85563,Tajikistan,Central and Eastern Europe,0.03198,4.786,0.22974,0.57379,0.15072,0.47216,2.11399,0.39047
107,0.60429,Tunisia,Middle East and Northern Africa,0.03589,4.739,0.06431,0.73793,0.06358,0.26268,2.12466,0.88113
108,0.92558,Palestinian Territories,Middle East and Northern Africa,0.04394,4.715,0.11251,0.66015,0.12905,0.24499,2.04384,0.59867
109,0.43106,Bangladesh,Southern Asia,0.03077,4.694,0.21222,0.60164,0.12569,0.4082,2.51767,0.39753
110,0.54447,Iran,Middle East and Northern Africa,0.04449,4.686,0.38086,0.69805,0.05863,0.30033,1.6944,1.0088
111,1.20278,Ukraine,Central and Eastern Europe,0.04412,4.681,0.15275,0.6739,0.02961,0.25123,1.5714,0.79907
112,0.81889,Iraq,Middle East and Northern Africa,0.05232,4.677,0.17922,0.60237,0.13788,0,1.95335,0.98549
113,1.18468,South Africa,Sub-Saharan Africa,0.04585,4.642,0.11973,0.27688,0.08884,0.33207,1.71956,0.92049
114,0.67954,Ghana,Sub-Saharan Africa,0.04742,4.633,0.23087,0.40132,0.04355,0.42342,2.30919,0.54558
115,1.03276,Zimbabwe,Sub-Saharan Africa,0.0429,4.61,0.18987,0.33475,0.08079,0.25861,2.44191,0.271
116,0.78968,Liberia,Sub-Saharan Africa,0.11068,4.571,0.24362,0.34201,0.06232,0.28531,2.77729,0.0712
117,0.38174,India,Southern Asia,0.02043,4.565,0.26475,0.51529,0.08492,0.39786,2.27513,0.64499
118,1.01404,Sudan,Sub-Saharan Africa,0.0674,4.55,0.19062,0.36878,0.1466,0.10081,2.20857,0.52107
119,0.74302,Haiti,Latin America and Caribbean,0.07331,4.518,0.46187,0.38847,0.17175,0.24425,2.24173,0.26673
120,1.0012,Congo (Kinshasa),Sub-Saharan Africa,0.0368,4.517,0.24834,0.09806,0.07625,0.22605,2.86712,0
121,0.86449,Nepal,Southern Asia,0.03607,4.514,0.32296,0.56874,0.05907,0.38282,1.95637,0.35997
122,0.60406,Ethiopia,Sub-Saharan Africa,0.0378,4.512,0.24325,0.44055,0.15048,0.4345,2.44876,0.19073
123,0.95571,Sierra Leone,Sub-Saharan Africa,0.07068,4.507,0.21488,0,0.08786,0.4084,2.51009,0.33024
124,0.86908,Mauritania,Sub-Saharan Africa,0.03947,4.436,0.219,0.35874,0.17461,0.24232,2.11773,0.45407
125,0.99876,Kenya,Sub-Saharan Africa,0.04734,4.419,0.37542,0.41435,0.05839,0.42215,1.78555,0.36471
127,0.77711,Armenia,Central and Eastern Europe,0.04763,4.35,0.07855,0.7299,0.039,0.19847,1.75873,0.76821
128,1.10464,Botswana,Sub-Saharan Africa,0.04934,4.332,0.10461,0.04776,0.12474,0.49495,1.46181,0.99355
129,0.70905,Myanmar,Southeastern Asia,0.04351,4.307,0.79588,0.48246,0.19034,0.44017,1.41805,0.27108
130,0.38562,Georgia,Central and Eastern Europe,0.04221,4.297,0.05547,0.72926,0.38331,0.40577,1.59541,0.7419
131,0.41134,Malawi,Sub-Saharan Africa,0.0613,4.292,0.33128,0.22562,0.06977,0.43054,2.80791,0.01604
132,1.01905,Sri Lanka,Southern Asia,0.03751,4.271,0.40828,0.70806,0.09179,0.53726,0.67108,0.83524
133,0.88767,Cameroon,Sub-Saharan Africa,0.04678,4.252,0.20618,0.23402,0.05786,0.49309,1.95071,0.4225
134,1.10614,Bulgaria,Central and Eastern Europe,0.04828,4.218,0.11921,0.76649,0.00872,0.30587,0.89991,1.01216
135,0.747,Egypt,Middle East and Northern Africa,0.0326,4.194,0.11291,0.61712,0.06324,0.17288,1.59927,0.8818
136,0.68093,Yemen,Middle East and Northern Africa,0.04367,4.077,0.09131,0.40064,0.07854,0.35571,1.92313,0.54649
137,0.8604,Angola,Sub-Saharan Africa,0.04758,4.033,0.12344,0.16683,0.07122,0.10384,1.94939,0.75778
138,1.03526,Mali,Sub-Saharan Africa,0.05602,3.995,0.18798,0.20583,0.12352,0.38857,1.79293,0.26074
139,0.6629,Congo (Brazzaville),Sub-Saharan Africa,0.06682,3.989,0.12388,0.31051,0.11686,0.41466,1.68135,0.67866
140,0.79273,Comoros,Sub-Saharan Africa,0.04797,3.956,0.17441,0.36315,0.199,0.22917,1.95812,0.23906
141,1.13299,Uganda,Sub-Saharan Africa,0.04317,3.931,0.29066,0.33861,0.07267,0.45727,1.42766,0.21102
142,0.97619,Senegal,Sub-Saharan Africa,0.03608,3.904,0.20843,0.4354,0.10713,0.36772,1.44395,0.36498
143,0.90528,Gabon,Sub-Saharan Africa,0.04547,3.896,0.06822,0.43372,0.11091,0.31914,0.99895,1.06024
144,0.77265,Niger,Sub-Saharan Africa,0.03602,3.845,0.19387,0.29707,0.15639,0.47692,1.87877,0.0694
145,0.62736,Cambodia,Southeastern Asia,0.05069,3.819,0.40359,0.61114,0.07247,0.66246,0.98195,0.46038
146,1.00268,Tanzania,Sub-Saharan Africa,0.05061,3.781,0.34377,0.38215,0.05747,0.32878,1.38079,0.2852
147,0.66801,Madagascar,Sub-Saharan Africa,0.03633,3.681,0.21333,0.46721,0.08124,0.19184,1.851,0.20824
149,0.76062,Chad,Sub-Saharan Africa,0.0383,3.667,0.18386,0.1501,0.05269,0.23501,1.94296,0.34193
150,0.46475,Guinea,Sub-Saharan Africa,0.0359,3.656,0.28657,0.24009,0.12139,0.37725,1.99172,0.17417
151,0.77115,Ivory Coast,Sub-Saharan Africa,0.05141,3.655,0.20165,0.15185,0.17922,0.46866,1.41723,0.46534
152,0.85188,Burkina Faso,Sub-Saharan Africa,0.04324,3.587,0.21747,0.27125,0.12832,0.39493,1.46494,0.25812
153,0.30285,Afghanistan,Southern Asia,0.03084,3.575,0.3651,0.30335,0.09719,0.23414,1.9521,0.31982
154,0.7737,Rwanda,Sub-Saharan Africa,0.03464,3.465,0.22628,0.42864,0.55191,0.59201,0.67042,0.22208
155,0.35386,Benin,Sub-Saharan Africa,0.03656,3.34,0.1826,0.3191,0.0801,0.4845,1.63328,0.28665
156,0.47489,Syria,Middle East and Northern Africa,0.05015,3.006,0.47179,0.72193,0.18906,0.15684,0.32858,0.6632
157,0.41587,Burundi,Sub-Saharan Africa,0.08658,2.905,0.19727,0.22396,0.10062,0.1185,1.83302,0.0153
158,0.13995,Togo,Sub-Saharan Africa,0.06727,2.839,0.16681,0.28443,0.10731,0.36453,1.56726,0.20868
